,File Name,Original Language,Translated Language,Translated Transcription,Original Transcription
0,websdr_recording_start_2022-03-02T14_03_20Z_11318.0kHz.wav,ru,en,"Once again over 1300, 230 degrees, 4, apparently 7000, weak, over-cold frost. Flat, 350, minus 2. 11000, 210, 02. Clutch 038, unchanged. At Sintsikl for 1400, 240 degrees, 6, apparently 10, light ice snow. Flat, 170, forest-stormy, minus 2.999. Variable over-cold rain. Clutch 045. At times 11000, ice snow. Arkhangelsk for 1400, 260 degrees, 5, apparently 7, good, plus 3. Clutch 050."," Еще раз за 1300, 230 градусов, 4, видимо 7000, слабая, перехложденная морозь. Плоская, 350, минус 2. 11000, 210, 02. Сцепление 038, без изменений. У Синцикл за 1400, 240 градусов, 6, видимо 10, слабый ледевой снег. Плоская, 170, пущево-грозневая, минус 2. 999. Изменной перехложденный дождь. Сцепление 045. Временами 11000, ледневой снег. Архангельск за 1400, 260 градусов, 5, видимо 7, хорошая, плюс 3. Сцепление 050."
0,websdr_recording_start_2022-03-02T13_18_17Z_11660.0kHz.wav,zh,en,,
0,websdr_recording_start_2022-02-28T11_25_45Z_14159.8kHz (1).wav,ru,en,"Painted, oh, all white, hands, these legs are generally healthy, so powerful from this from the past. Well, I don't remember what company I have in my computer anyway. I ordered a station wagon, Lord, any whim with your money, and so I drew a drawing and dimensions. Oh, what a table, damn it, well, just stunned. Well, you've definitely never seen one like it. Oh beauty. And ironed like it's on top. A terrible thing is beautiful. Oh my god. So it goes. Okay, Sanya, otherwise I’ll buy our urgent bed right now ....... Ah, you don’t ... you see, I just need to catch something. I have an allology for every word. Ah, about Arabstan, just touch me there. Here he is, here he is. Everything is calm in Akada ......."," Разрисованные, ой, весь белый, ручки, эти ножки вообще здоровые, такой мощный из этого из прошлого. Ну, я не помню фирму какую у меня в компьютере всё-то. Заказал универтал, господи, любой каприз на ваши деньги, и вот я нарисовал рисунок и размеры. Ой, какой стол, блин, ну просто обалдеть. Ну, вы такой точно никогда не видели. Ой, красота. И гладится как это сверхушка. Страшное дело красивое. Ой, господи. Такие дела. Ладно, Саня, а то это я сейчас нашу срочную кровать приобрею....... А, ты по... вот видишь, мне только зацепить что-нибудь. У меня на каждое слово есть какая-нибудь аллогия. А, про Арабстан только задень меня там. Вот он, вот он. В Акаде всё спокойно......."
0,websdr_recording_start_2022-02-28T11_25_45Z_14159.8kHz.wav,ru,en,"Painted, oh, all white, hands, these legs are generally healthy, so powerful from this from the past. Well, I don't remember what company I have in my computer anyway. I ordered a station wagon, Lord, any whim with your money, and so I drew a drawing and dimensions. Oh, what a table, damn it, well, just stunned. Well, you've definitely never seen one like it. Oh beauty. And ironed like it's on top. A terrible thing is beautiful. Oh my god. So it goes. Okay, Sanya, otherwise I’ll buy our urgent bed right now ....... Ah, you don’t ... you see, I just need to catch something. I have an allology for every word. Ah ... about Arabstan, just touch me there ............. Arabs ...."," Разрисованные, ой, весь белый, ручки, эти ножки вообще здоровые, такой мощный из этого из прошлого. Ну, я не помню фирму какую у меня в компьютере всё-то. Заказал универтал, господи, любой каприз на ваши деньги, и вот я нарисовал рисунок и размеры. Ой, какой стол, блин, ну просто обалдеть. Ну, вы такой точно никогда не видели. Ой, красота. И гладится как это сверхушка. Страшное дело красивое. Ой, господи. Такие дела. Ладно, Саня, а то это я сейчас нашу срочную кровать приобрею....... А, ты по... вот видишь, мне только зацепить что-нибудь. У меня на каждое слово есть какая-нибудь аллогия. А... про Арабстан только задень меня там............ Арабы...."
0,14588.75.47.mp3,ru,en,"Geyser, I am Regime. Record, records! The model is registered on the Geyser. He's registered. Doc Model, seen on the Geyser. On the side of the Hurricane, Hurricane. You need to register your kit for the Geyser. I Mode, over. Baghdad, Baghdad, I Regime, over. Who is with Baghdad? Mode, reception. I work, I work with Baghdad. I am the Mode. I'm quite welcome."," Гейзер, я Режим. Запиши, записи! Модель прописан на Гейзере. Он прописан. Док Модела, его видят на Гейзере. По стороны Урагана, Урагана. Нужно прописать свой комплект на Гейзер. Я Режим, прием. Багдад, Багдад, я Режим, прием. Кто с Багдадом? Режим, прием. Работаю, работаю с Багдадом. Я Режим. Я совсем, прием."
0,websdr_recording_start_2022-03-03T14_32_03Z_14854.0kHz.wav,en,en, 2 8 1 6 5 8 9 3 6 5 8 9 3 5 1 8 6 1 0 1 7 9 4 9 8 2 1 3 6 1 0 4 7 7 5 5 3 0 9 4 5 9 0 6 7 7 9 9 1 7 7 5 2 4 0 7 4 2 7 0 9 9 1 2 8 6 7 2 2 9 6 4 0 4 8 7 1 2 7 6, 2 8 1 6 5 8 9 3 6 5 8 9 3 5 1 8 6 1 0 1 7 9 4 9 8 2 1 3 6 1 0 4 7 7 5 5 3 0 9 4 5 9 0 6 7 7 9 9 1 7 7 5 2 4 0 7 4 2 7 0 9 9 1 2 8 6 7 2 2 9 6 4 0 4 8 7 1 2 7 6
0,websdr_recording_start_2022-03-01T20_06_32Z_15770.0kHz.wav,en,en," Russia's invasion and had entered Ukraine. They stated that a column of 33 military vehicles had entered the region. Hours prior, Belarus's president, Alexander Lukashenko, said that Belarus would not join the war and claimed that Russian troops were not attacking Ukraine from Belarusian territory. So that is interesting to see, but obviously it's not clear. If the US and the Comericans said that they had reason to believe that the Russians were"," Russia's invasion and had entered Ukraine. They stated that a column of 33 military vehicles had entered the region. Hours prior, Belarus's president, Alexander Lukashenko, said that Belarus would not join the war and claimed that Russian troops were not attacking Ukraine from Belarusian territory. So that is interesting to see, but obviously it's not clear. If the US and the Comericans said that they had reason to believe that the Russians were"
0,websdr_recording_start_2022-02-28T11_25_28Z_18084.4kHz.wav,en,en, Its been here forever. Wow., Its been here forever. Wow.
0,websdr_recording_start_2022-02-28T14_01_04Z_19373.0kHz.wav,en,en,,
0,25-Feb-2022_13h31m11s_265.26_MHz_N-FM.mp3,ru,en,"Houses. Everything is fine at home. In general, let's go out later, because now everything hisses here, nothing hisses. I say, can you work until the first hour? I say, Samarkin will deliver the first one. I'll provide grass for you there. Three days to wait. Garage is listening. Garage is listening. Get in the garage. Get in the garage. Get in the garage. Garage is listening."," дома. Все нормально как-то дома. Вообще давай попозже выйду, потому что сейчас тут шипит все, не шипит ничего. Говорю, до первого часа может поработаете? Я говорю, Самаркин первого будет завезать. Я там трава для тебя обеспечу. Три дня подождать получается. Гараж слушает. Гараж слушает. Лезь в гаражу. Лезь в гаражу. Лезь в гаражу. Гараж слушает."
0,25-Feb-2022_13h39m07s_266.740.1_MHz_N-FM.mp3,ru,en,"Well, ladies! I'll dial, bass-bass, I'll see, yeah, whip there. Then the whip is not there, but a new one. Too good, too good. You know, it's better to check it seven times, then cut off one fragment crookedly. Here is where I get it. Here. It seems that the book says, like him, Kenva, in short, the channels are separated, 30 channels for a deuce and 40 for a seventy. I wanted to do the opposite. The book says how. Well, shit doesn't work. What do they write, what kind of Makar is it there? It would be necessary to press the button F, M, R and Power On. And which is Power On, it also makes Power Off. I click here, it just turns off and that's it. Or maybe on the off you need to hold down two buttons and turn it on?"," Ну та-дам! Наберу, бас-бас, посмотрю, ага, хлесть туды. Потом хлесть не туды, а новой. Тоже хорошо, тоже хорошо. Знаешь, лучше семь раз проверить, потом один фрагмент криво отрезать. Вот где-то так примерно у меня и получается. Вот. Вроде в книжке написано, как у него, у Кенва, короче, каналы разделены, 30 каналов на двойку и 40 на семидесятку. Я хотел сделать наоборот. В книжке написано, как. Ну, бляха не получается. Чё пишут, каким это Макаром там? Надо бы нажать на кнопку F, M, R и Power On. А который Power On, он же делает Power Off. Я тут нажимаю, он просто выключается и всё. А может быть на выключенной надо две кнопочки-то зажать и включить?"
